"taxon","NM","SD","LD","dist_.km.","bearing","D","I","rank.corr","adult_mass_g","brain_mass_g","adult_body_length_mm","adult_forearm_length_mm","max_longevity_d","maturity_d","female_maturity_d","male_maturity_d","age_first_reproduction_d","gestation_length_d","teat_number_n","litter_size_n","litters_per_year_n","interbirth_interval_d","neonate_mass_g","weaning_age_d","weaning_mass_g","generation_length_d","dphy_invertebrate","dphy_vertebrate","dphy_plant","det_inv","det_vend","det_vect","det_vfish","det_vunk","det_scav","det_fruit","det_nect","det_seed","det_plantother","X1_dietary.cat","X2_dietary.cat","X3_dietary.cat","X4_dietary.cat","herbivore","omnivore","carnivore","aerial.foraging","scansorial.foraging","arboreal.foraging","ground.level.aquatic.foraging","upper_elevation_m","lower_elevation_m","altitude_breadth_m","island_dwelling","Occurs.on.mainland","Island.endemic","disected_by_mountains","glaciation","Nearctic","Neotropical","HB1","HB2","HB3","HB4"
"Monophyllus_redmani",0,1,0,395.7038777,-51.47424076,0.34603434,0.548047568,0.462790593,8.745,0.43,63.067,39.43,4566.211,NA,491.454,NA,604.814,119.381,NA,0.99,1.515,262.495,NA,59.433,NA,2123.282,20,0,80,20,0,0,0,0,0,40,40,0,0,0,0,1,0,0,1,0,0,0,1,0,NA,NA,NA,1,0,1,1,0,0,1,1,0,0,0
"Phylloderma_stenops",0,1,0,488.4086629,-27.05398783,0.40072559,0.602026569,0.273721647,55.82,1.338,115,71.9,5210.252,NA,383.678,NA,504.284,122.526,NA,0.98,1.689,242.29,NA,80.65,NA,2026.325,10,0,90,10,0,0,0,0,0,20,10,60,0,0,1,0,0,0,1,0,0,0,1,0,2600,NA,NA,0,1,0,1,0,0,1,0,0,1,0
"Phyllostomus_discolor",0,0,1,1090.998523,-42.77260738,0.56046114,0.641981163,0.45977031,40.05,0.89,97,62.5,3285,NA,292.402,NA,387.409,105,NA,1,1.902,227.519,7,60.714,NA,1545.855,30,0,70,30,0,0,0,0,0,40,30,0,0,0,0,1,0,0,1,0,0,1,0,0,NA,NA,NA,0,1,0,1,0,0,1,0,0,0,1
"Phyllostomus_elongatus",0,1,0,294.3421865,-64.18364034,0.65638317,0.715494268,0.444791759,35.6,0.885,88.493,66,5214.054,NA,387.145,NA,501.504,121.66,NA,0.985,1.709,247.47,NA,85.836,NA,2043.283,70,10,20,70,0,10,0,0,0,10,10,0,0,1,0,0,0,0,1,0,0,1,0,0,NA,NA,NA,0,1,0,1,0,0,1,0,1,0,0
"Phyllostomus_hastatus",0,1,0,538.0811808,-44.65661204,0.57632979,0.751489791,0.433465953,82.6,1.532,128.5,83.27,6570,487.04,424.699,NA,550.348,120,NA,1,1,350.608,15.92,72.82,59.09,2034.894,40,50,10,40,0,50,0,0,0,10,0,0,0,0,1,0,0,0,0,1,0,1,0,0,NA,NA,NA,1,1,0,1,0,0,1,0,0,1,0
"Phyllostomus_latifolius",0,1,0,767.3118169,57.7133397,0.101470023,0.31255617,0.251208519,134,1.479,76,58,5437.65,NA,432.851,NA,558.442,131.07,NA,1.002,1.636,250.557,NA,102.189,NA,2093.315,70,10,20,70,0,10,0,0,0,10,10,0,0,1,0,0,0,0,1,0,0,1,0,0,500,0,500,0,1,0,0,0,0,1,1,0,0,0
"Platyrrhinus_brachycephalus",0,1,0,861.1385832,-46.58302918,0.219110452,0.337279311,0.207273157,14.26,0.583,70.884,38.99,5480.856,NA,408.192,NA,531.746,115.483,NA,0.98,1.804,242.101,NA,47.523,NA,2106.105,10,0,90,10,0,0,0,0,0,90,0,0,0,1,0,0,0,1,0,0,0,0,1,0,NA,NA,NA,0,1,0,0,0,0,1,0,1,0,0
"Platyrrhinus_dorsalis",0,1,0,788.3118078,159.9940014,0.229515916,0.455316298,0.43425476,26,0.852,86,47.5,5573.821,NA,412.802,NA,534.571,117.095,NA,0.99,1.774,243.009,NA,48.909,NA,2115.264,10,0,90,10,0,0,0,0,0,90,0,0,0,1,0,0,0,1,0,0,0,0,1,0,2500,150,2350,0,1,0,1,0,0,1,1,0,0,0
"Platyrrhinus_helleri",0,1,0,164.8344997,-73.29798449,0.628127444,0.727760773,0.509291808,13.44,0.42,59,38.09,6022.389,NA,293.931,NA,423.182,112.44,NA,0.99,2,236.383,NA,39.936,NA,1920.63,10,0,90,10,0,0,0,0,0,90,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1500,0,1500,0,1,0,1,0,1,1,0,0,0,1
"Platyrrhinus_infuscus",0,1,0,479.4536121,-134.7934254,0.342681089,0.487934415,0.217983097,50.76,1.11,88.72,56.49,5712.489,NA,381.387,NA,504.728,116.16,NA,0.98,1.817,241.25,NA,47.859,NA,2084.496,10,0,90,10,0,0,0,0,0,90,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1900,180,1720,0,1,0,1,0,0,1,0,1,0,0
"Platyrrhinus_lineatus",0,1,0,539.2849652,-99.53438158,0.360714405,0.459359761,0.385753591,22,0.741,103,46.59,4745,NA,291.068,NA,407.934,106,NA,1,2,216.93,8.3,34.209,NA,1812.129,10,0,90,10,0,0,0,0,0,90,0,0,0,1,0,0,0,0,1,0,0,0,1,0,NA,NA,NA,0,1,0,1,0,0,1,1,0,0,0
"Platyrrhinus_vittatus",1,0,0,77.36392112,102.3991657,0.363066732,0.469988776,0.408582162,37.01,1.175,92.495,57.11,5620.608,NA,424.537,NA,543.831,120.211,NA,0.98,1.764,242.768,NA,51.442,NA,2121.035,10,0,90,10,0,0,0,0,0,90,0,0,0,1,0,0,0,1,0,0,0,0,1,0,NA,NA,NA,0,1,0,1,0,0,1,1,0,0,0
"Pygoderma_bilabiatum",0,1,0,796.9529973,-12.01626742,0.084610391,0.290103182,0.218611905,18,0.658,85,40,5278.622,NA,484.685,NA,613.541,121.43,NA,0.99,1,339.885,NA,55.528,NA,2123.749,0,0,100,0,0,0,0,0,0,100,0,0,0,1,0,0,0,1,0,0,0,0,1,0,NA,NA,NA,0,1,0,1,0,0,1,1,0,0,0
"Rhinophylla_fischerae",0,1,0,433.4644293,-62.25738051,0.503143104,0.616232988,0.442722143,9.55,0.452,66.043,32.02,5250.257,NA,480.724,NA,601.854,118.677,NA,0.98,1.325,295.716,NA,68.213,NA,2135.521,10,0,90,10,0,0,0,0,0,90,0,0,0,1,0,0,0,1,0,0,0,0,1,0,NA,NA,NA,0,1,0,1,0,0,1,1,0,0,0
"Rhinophylla_pumilio",0,1,0,114.9610987,-20.75025029,0.813326971,0.875908771,0.767109614,9.54,0.356,62.901,33.5,5265.811,NA,481.85,NA,594.784,117.77,NA,0.99,1,334.091,NA,64.245,NA,2105.671,10,0,90,10,0,0,0,0,0,90,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1400,NA,NA,0,1,0,1,0,0,1,1,0,0,0
"Sturnira_bidens",0,1,0,695.6159257,178.2985863,0.266193063,0.421814624,0.401486364,18.05,0.696,101,41.49,6180.561,NA,295.205,NA,414.35,118.136,NA,1,2,231.497,1.29,69.17,NA,1907.731,0,0,100,0,0,0,0,0,0,100,0,0,0,1,0,0,0,1,0,0,0,0,1,0,3000,1700,1300,0,1,0,1,0,0,1,1,0,0,0
"Sturnira_bogotensis",0,1,0,257.0355605,-166.4628138,0.323946886,0.426242254,0.400608035,21,0.653,70,NA,5574.899,NA,425.752,NA,543.805,119.642,NA,0.99,1.5,248.985,1.54,73.325,NA,2119.848,0,0,100,0,0,0,0,0,0,100,0,0,0,1,0,0,0,1,0,0,0,0,1,0,3100,1200,1900,0,1,0,1,0,0,1,1,0,0,0
"Sturnira_erythromos",0,1,0,160.3086583,-55.36144404,0.63085456,0.762143709,0.728596438,15.53,0.62,72.947,41.74,5339.641,NA,479.148,NA,599.098,120.517,NA,0.995,1,340.519,0.99,73.085,NA,2117.999,0,0,100,0,0,0,0,0,0,100,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1300,NA,NA,0,1,0,1,0,0,1,1,0,0,0
"Sturnira_hondurensis",0,1,0,335.4679899,121.4839621,0.465313374,0.590048324,0.241001161,21,0.676,70,43.5,6313.409,NA,299.491,NA,416.935,117.14,NA,0.99,2,231.391,1.54,71.933,NA,1915.882,0,0,100,0,0,0,0,0,0,100,0,0,0,1,0,0,0,1,0,0,0,0,1,0,2000,600,1400,NA,NA,NA,NA,NA,0,1,1,0,0,0
"Sturnira_lilium",0,1,0,328.5349205,-59.28940253,0.721182397,0.726657424,0.544017189,20,0.52,65.96,40.5,7300,289.18,289.18,289.18,404.045,114.865,NA,1,2,233.937,5.225,87.5,NA,1905.642,0,0,100,0,0,0,0,0,0,100,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1600,NA,NA,0,1,0,1,0,0,1,1,0,0,0
"Sturnira_ludovici",0,0,1,1404.990818,121.8455085,0.18926296,0.41950738,0.294572601,21,0.676,70,43.5,6292.068,NA,306.066,NA,423.038,117.479,NA,0.99,2,232.939,1.54,73.228,NA,1931.479,0,0,100,0,0,0,0,0,0,100,0,0,0,1,0,0,0,1,0,0,0,0,1,0,2880,550,2330,0,1,0,1,0,0,1,1,0,0,0
"Sturnira_luisi",0,1,0,379.8448043,-110.5500299,0.403673956,0.626311706,0.321678811,11.99,0.582,74,43,5508.243,NA,458.975,NA,575.809,119.232,NA,0.99,1.588,249.475,NA,73.242,NA,2141.067,0,0,100,0,0,0,0,0,0,100,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1930,40,1890,0,1,0,1,0,0,1,1,0,0,0
"Sturnira_magna",0,1,0,132.4026219,-37.91545398,0.402828111,0.553084169,0.349845733,43.1,1.113,83.883,57.5,5547.161,NA,486.05,NA,608.36,127.018,NA,0.98,1.549,257.54,NA,77.346,NA,2155.754,0,0,100,0,0,0,0,0,0,100,0,0,0,1,0,0,0,1,0,0,0,0,1,0,NA,NA,NA,0,1,0,1,0,0,1,1,0,0,0
"Sturnira_oporaphilum",0,1,0,232.3671902,111.6863211,0.528097449,0.5371759,0.461263121,21.495,0.726,70,45.99,6178.03,NA,326.966,NA,453.532,117.993,NA,0.99,2,237.477,1.54,72.517,NA,1997.922,0,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,0,1,0,2575,500,2075,0,1,0,1,0,0,1,1,0,0,0
"Sturnira_parvidens",0,1,0,164.9556217,58.99443141,0.484605147,0.603979394,0.515868247,20,0.52,65.96,40.5,7300,289.18,289.18,289.18,404.045,114.865,NA,1,2,233.694,5.225,87.5,NA,1902.617,0,0,100,0,0,0,0,0,0,100,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1600,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0
"Sturnira_tildae",0,1,0,169.3330109,-75.18229204,0.756943673,0.813087579,0.687524623,22.445,0.726,73.822,45.5,5413.994,NA,472.192,NA,599.186,122.956,NA,0.99,1,340.245,2.62,73.209,NA,2119.977,0,0,100,0,0,0,0,0,0,100,0,0,0,1,0,0,0,1,0,0,0,0,1,0,NA,NA,NA,0,1,0,1,0,0,1,1,0,0,0
"Tonatia_bidens",0,1,0,410.1462682,-43.43262489,0.4927869,0.625180518,0.404047701,27.55,0.788,95,58.13,4809.92,NA,467.479,NA,591.45,121.922,NA,0.98,1.31,313.545,NA,77.891,NA,2076.794,90,0,10,90,0,0,0,0,0,10,0,0,0,1,0,0,0,0,1,0,1,0,0,0,NA,NA,NA,0,1,0,1,0,0,1,1,0,0,0
"Trachops_cirrhosus",0,1,0,383.0960153,-51.33997625,0.602197448,0.628299296,0.357888483,36.9,0.912,92,58.45,4937.481,NA,332.56,NA,414.982,111.86,NA,1,1.785,255.338,NA,87.153,NA,1822.183,50,40,10,50,0,40,0,0,0,10,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1400,NA,NA,0,1,0,1,0,0,1,0,0,1,0
"Trinycteris_nicefori",0,1,0,299.1817988,-64.64718074,0.594983622,0.607055162,0.154362699,8.25,0.39,58,38,5429.578,NA,385.629,NA,501.393,115.474,NA,1,1.666,260.889,NA,69.002,NA,2060.971,80,0,20,80,0,0,0,0,0,20,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1000,NA,NA,0,1,0,1,0,0,1,1,0,0,0
"Uroderma_bilobatum",1,0,0,45.10888361,-48.39028126,0.845148992,0.859808544,0.678358014,16.24,0.53,69,42.03,6305.431,NA,289.007,NA,411.934,130.88,NA,1,2,218.211,NA,35.51,8.14,1905.883,10,0,90,10,0,0,0,0,0,80,10,0,0,1,0,0,0,0,1,0,0,0,1,0,2600,0,2600,0,1,0,1,0,0,1,0,1,0,0
"Uroderma_magnirostrum",0,1,0,579.146568,-39.83928089,0.476766031,0.630723675,0.340009074,17.3,0.567,70,41.49,5658.458,NA,385.537,NA,515.045,116.839,NA,0.98,1.837,235.302,NA,47.335,NA,2092.559,10,0,90,10,0,0,0,0,0,80,10,0,0,1,0,0,0,0,1,0,0,0,1,0,1000,NA,NA,0,1,0,1,0,0,1,1,0,0,0
"Vampyressa_pusilla",0,1,0,501.9090243,-45.43457256,0.573141578,0.643319547,0.315910494,8.785,0.394,52.5,30.5,5998.314,NA,343.565,NA,477.227,114.189,NA,0.98,2,247.388,3.81,41.518,NA,2089.688,0,0,100,0,0,0,0,0,0,100,0,0,0,1,0,0,0,1,0,0,0,0,1,0,NA,NA,NA,0,1,0,1,0,0,1,NA,NA,NA,NA
"Vampyressa_thyone",0,1,0,223.8702136,139.3617379,0.589068642,0.73866395,0.314570233,8.77,0.396,52.5,31.5,6002.102,NA,341.809,NA,475.054,114.08,NA,0.98,2,247.22,2.415,41.328,NA,2081.07,0,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,0,1,0,1000,NA,NA,0,1,0,1,0,0,1,1,0,0,0
"Vampyriscus_bidens",1,0,0,93.97581502,-42.15556138,0.719677565,0.831781194,0.613264795,11.91,0.487,62,35.57,5749.193,NA,355.016,NA,483.409,115.893,NA,0.99,1.866,244.131,0.61,54.526,NA,2056.8,0,0,100,0,0,0,0,0,0,100,0,0,0,1,0,0,0,1,0,0,0,0,1,0,500,NA,NA,0,1,0,1,0,0,1,1,0,0,0
"Vampyriscus_nymphaeus",0,1,0,206.5941256,131.8287878,0.457525071,0.649509037,0.448096939,69,1.106,64,36.5,5748.662,NA,471.737,NA,588.785,124.792,NA,0.99,1.655,248.014,NA,63.18,NA,2156.711,0,0,100,0,0,0,0,0,0,100,0,0,0,1,0,0,0,1,0,0,0,0,1,0,NA,NA,NA,0,1,0,1,0,0,1,1,0,0,0
"Vampyrodes_caraccioli",0,1,0,879.386111,-30.49300448,0.322109782,0.545026426,0.203539888,35.89,0.947,84.5,52.05,6000.286,NA,331.964,NA,454.729,114.095,NA,0.98,2,238.532,NA,47.583,NA,1991.33,0,0,100,0,0,0,0,0,0,100,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1000,NA,NA,0,1,0,1,0,0,1,0,1,0,0
"Vampyrum_spectrum",0,1,0,368.9693428,-44.4534228,0.722402057,0.798433942,0.568403084,171.61,2.868,158,68.79,2372.5,NA,314.387,NA,400.794,135.693,NA,1,1.738,247.658,NA,99.968,NA,1505.155,10,80,10,10,80,0,0,0,0,10,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1850,50,1800,0,1,0,1,0,0,1,1,0,0,0
