"Latin.Name","summer_tif","winter_tif","D","I","rank.corr","sum_lon","sum_lat","win_lon","win_lat","distance","bearing"
"Myotis ciliolabrum","./Summer_SDMs_redone/Myotis ciliolabrum_summer.tif","./Winter_SDMs_redone/Myotis ciliolabrum.tif",0.623107169748198,0.641475907225034,0.462260503150319,-110.214128041437,40.2830512638633,-110.175180916925,37.3564080844418,324910.393155972,-0.584324955969896
"Myotis dasycneme","./Summer_SDMs_redone/Myotis dasycneme_summer.tif","./Winter_SDMs_redone/Myotis dasycneme.tif",0.188067710870927,0.432513561925532,0.345321988992541,32.4991821687873,53.9044305302765,9.0733543252812,51.7249389040323,1590463.9774486,72.0098897097424
"Myotis daubentonii","./Summer_SDMs_redone/Myotis daubentonii_summer.tif","./Winter_SDMs_redone/Myotis daubentonii.tif",0.177883873104634,0.418893348264581,0.371563442197369,36.0228671684017,52.3108598621144,6.02730057264616,51.4561387446176,2052749.39852655,75.521092483556
"Myotis elegans","./Summer_SDMs_redone/Myotis elegans_summer.tif","./Winter_SDMs_redone/Myotis elegans.tif",0.289945273097939,0.47639252969873,0.315143179881605,-88.5214258076997,14.9186496420971,-89.3337312658726,17.5118709088958,299820.734773595,163.046530245234
"Myotis emarginatus","./Summer_SDMs_redone/Myotis emarginatus_summer.tif","./Winter_SDMs_redone/Myotis emarginatus.tif",0.326966514761453,0.532899909374103,0.493166033797224,15.555848358761,46.223124298263,3.91610520405657,47.7780248798119,901062.136157552,96.747641279495
"Myotis escalerai","./Summer_SDMs_redone/Myotis escalerai_summer.tif","./Winter_SDMs_redone/Myotis escalerai.tif",0.290222234343296,0.460019176582427,0.367379206487684,-1.19375601539942,41.233257138274,-2.01498087039694,41.5599035549179,77670.3796645955,117.572413809153
"Myotis goudoti","./Summer_SDMs_redone/Myotis goudoti_summer.tif","./Winter_SDMs_redone/Myotis goudoti.tif",0.585708902565966,0.71999293588611,0.0991313129691886,44.592330410425,-17.9822849429627,46.4679062346588,-19.2122760186549,240246.70174778,-55.7833827537627
"Myotis grisescens","./Summer_SDMs_redone/Myotis grisescens_summer.tif","./Winter_SDMs_redone/Myotis grisescens.tif",0.344084658767133,0.58654263871819,0.503122613783249,-86.5250116173458,35.6116981391124,-89.3154849600982,36.5331184775936,271351.878223408,111.307558501469
"Myotis horsfieldii","./Summer_SDMs_redone/Myotis horsfieldii_summer.tif","./Winter_SDMs_redone/Myotis horsfieldii.tif",0.522597363111199,0.560183243546699,0.359204743505813,108.139566508095,12.1397278460007,110.793462598008,5.49932189023098,790278.274931717,-21.4898431089238
"Myotis keaysi","./Summer_SDMs_redone/Myotis keaysi_summer.tif","./Winter_SDMs_redone/Myotis keaysi.tif",0.481735727856814,0.631557839421599,0.513852759798575,-83.7208445127088,11.106289937914,-76.6736349859767,4.67231370065442,1053358.66766857,-47.0869935219553
"Myotis keenii","./Summer_SDMs_redone/Myotis keenii_summer.tif","./Winter_SDMs_redone/Myotis keenii.tif",0.436362373311111,0.616834222416997,0.521009006121771,-94.4210268092823,46.8251897460616,-88.1700202342429,42.2200818167214,712871.010939236,-42.0017840026387
"Myotis leibii","./Summer_SDMs_redone/Myotis leibii_summer.tif","./Winter_SDMs_redone/Myotis leibii.tif",0.192870037637884,0.427716514877863,0.272397237303165,-99.6152264250558,39.2646209785922,-84.9067983833815,42.2302896092474,1283279.76316458,-99.9517987168601
"Myotis levis","./Summer_SDMs_redone/Myotis levis_summer.tif","./Winter_SDMs_redone/Myotis levis.tif",0.248137044967398,0.492454714052507,0.292590455548417,-59.5148058529622,-27.4764289793005,-61.6211709736185,-31.2918128556328,469712.403006574,26.3278375825994
"Myotis lucifugus","./Summer_SDMs_redone/Myotis lucifugus_summer.tif","./Winter_SDMs_redone/Myotis lucifugus.tif",0.712239383370921,0.759204074593979,0.58062375093425,-100.159234247276,45.8411716947991,-97.606121172178,44.7942647143103,231528.451961826,-58.9312952936393
"Myotis macropus","./Summer_SDMs_redone/Myotis macropus_summer.tif","./Winter_SDMs_redone/Myotis macropus.tif",0.180536954752672,0.423780269949967,0.213838703887493,136.978329369798,-24.9405078540585,144.977263317693,-25.9276324868893,811893.678336504,-83.9932594929076
"Myotis muricola","./Summer_SDMs_redone/Myotis muricola_summer.tif","./Winter_SDMs_redone/Myotis muricola.tif",0.62955304382349,0.719124410621171,0.482779525144969,105.641948375792,17.6718203261895,107.721470861388,11.2350041511,746614.924838684,-17.2252559757476
"Myotis myotis","./Summer_SDMs_redone/Myotis myotis_summer.tif","./Winter_SDMs_redone/Myotis myotis.tif",0.420803646416617,0.628912091182708,0.561706206459943,20.4297954951672,47.6554657539001,8.90700102366052,48.0639080178985,862609.298257326,88.7262132851731
"Myotis mystacinus","./Summer_SDMs_redone/Myotis mystacinus_summer.tif","./Winter_SDMs_redone/Myotis mystacinus.tif",0.381889759136928,0.602529273309593,0.578471133468701,23.1701330501224,52.2315332109036,7.37152129205109,50.487795041603,1115061.34220301,73.8783811973285
"Myotis nattereri","./Summer_SDMs_redone/Myotis nattereri_summer.tif","./Winter_SDMs_redone/Myotis nattereri.tif",0.393429419269975,0.601733967299204,0.571339746029811,21.0558364795506,51.5885768643556,7.47824471445027,49.9966071229517,972108.866189822,74.2971961514152
"Myotis nigricans","./Summer_SDMs_redone/Myotis nigricans_summer.tif","./Winter_SDMs_redone/Myotis nigricans.tif",0.706939824780211,0.782758591317749,0.53189926207357,-63.8255709092604,-4.52732092091159,-63.2696698899718,-4.85896519742743,71756.1782011761,-59.286618435457
"Myotis oxygnathus","./Summer_SDMs_redone/Myotis oxygnathus_summer.tif","./Winter_SDMs_redone/Myotis oxygnathus.tif",0.458036604929897,0.487944891538927,0.201690199711561,34.4407780501507,41.2910135610266,22.693940928051,45.6355586998286,1064689.3265182,112.782323543463
"Myotis oxyotus","./Summer_SDMs_redone/Myotis oxyotus_summer.tif","./Winter_SDMs_redone/Myotis oxyotus.tif",0.151449941162927,0.38611671493137,0.315627306874275,-67.884375218333,-10.9601716970586,-59.1880309331528,2.88071903326509,1808502.55048122,-147.94793514702
"Myotis riparius","./Summer_SDMs_redone/Myotis riparius_summer.tif","./Winter_SDMs_redone/Myotis riparius.tif",0.865593181294775,0.87526284419569,0.724407470271842,-62.0482052006783,-6.39405423654293,-61.7431763034631,-5.80165054134992,73701.284343964,-152.749527373542
"Myotis septentrionalis","./Summer_SDMs_redone/Myotis septentrionalis_summer.tif","./Winter_SDMs_redone/Myotis septentrionalis.tif",0.255430136604158,0.501174296738847,0.454275564814764,-89.3402921951418,40.9838484330385,-83.5128084553719,40.9734146177616,490365.142286478,-87.9530453123619
"Myotis sodalis","./Summer_SDMs_redone/Myotis sodalis_summer.tif","./Winter_SDMs_redone/Myotis sodalis.tif",0.391063546264631,0.591067270102732,0.489805383090679,-86.4427625551761,39.0569841203742,-82.0237268518518,38.9582382039574,382883.38158147,-86.9691748848908
"Myotis thysanodes","./Summer_SDMs_redone/Myotis thysanodes_summer.tif","./Winter_SDMs_redone/Myotis thysanodes.tif",0.508932599476415,0.608824674005871,0.496861680696432,-111.141482127101,38.1906756407773,-107.063092123071,34.1569840446329,578615.664340319,-38.1563382873359
"Myotis velifer","./Summer_SDMs_redone/Myotis velifer_summer.tif","./Winter_SDMs_redone/Myotis velifer.tif",0.703060274236721,0.725257105580697,0.610390976804206,-103.054961037432,30.7715886344904,-102.832598642245,29.0832564470567,188381.112094755,-6.4891974919536
"Myotis volans","./Summer_SDMs_redone/Myotis volans_summer.tif","./Winter_SDMs_redone/Myotis volans.tif",0.423784149538415,0.581870450998001,0.466797513512034,-111.686352166681,41.1599135865122,-115.02096953365,41.8440287123556,288578.642992631,104.155035543424
"Myotis yumanensis","./Summer_SDMs_redone/Myotis yumanensis_summer.tif","./Winter_SDMs_redone/Myotis yumanensis.tif",0.490362919272189,0.649230512875711,0.264546222551895,-109.559320640385,42.4002333571239,-109.926922482446,36.3660156575842,670683.155914995,2.59110775588889
"Nanonycteris veldkampii","./Summer_SDMs_redone/Nanonycteris veldkampii_summer.tif","./Winter_SDMs_redone/Nanonycteris veldkampii.tif",0.361441098141389,0.561509302879593,0.420767216178146,4.167711115677,6.59452263543593,3.83402358904652,5.98185866394812,77161.1133381795,28.5713224426755
