Latin Name,Common Name,Status,Fig_stat,Colors,Additional migration info,Source,Mig Status (based on Fleming & Eby 2003),sum_lon,sum_lat,win_lon,win_lat,distance (m),dist (km),bearing,D,I,rank.corr
Murina bicolor,Bicolored Tube-nosed Bat,Potential Migrant,Potential Migrant,Migratory,some suggestion of possible altitudinal migration - M&B2013,McGuire & Boyle 2013,,,,,,,,,,,
Myotis formosus,Hodgson's Myotis,Potential Migrant,Potential Migrant,Migratory,mention of potential altitudinal migration - M&B2013,McGuire & Boyle 2013,,,,,,,,,,,
Myotis occultus,Arizona Myotis,Potential Migrant,Potential Migrant,Migratory,mention of potential altitudinal migration - M&B2013,McGuire & Boyle 2013,,,,,,,,,,,
Myotis rufoniger,Black-winged Myotis,Potential Migrant,Potential Migrant,Migratory,mention of potential altitudinal migration - M&B2013,McGuire & Boyle 2013,,,,,,,,,,,
Scotoecus hindei,Hinde's Lesser House Bat,Potential Migrant,Potential Migrant,Migratory,PM? - O'Shea & Vaughan,O'Shea & Vaughan 1980,Short-distance Migrant,31.07936584,-3.337196092,33.62322348,-3.317172732,282715.3834,282.7153834,-90.52248585,0.351120484,0.553311069,0.333329766
Scotorepens greyii,Little Broad-nosed Bat,Potential Migrant,Potential Migrant,Migratory,Purported migratory,Churchill 2009 Australian bats; https://animalia.bio/little-broad-nosed-bat?property=76,Short-distance Migrant,139.9858178,-22.9115354,139.0389982,-25.13315049,264241.2521,264.2412521,21.57277864,0.555787342,0.672056771,0.460459035
Cardioderma cor,Heart-nosed Bat,Potential Migrant/Nonmigratory,Nonmigratory,Nonmigratory,"NM - M&R2011, but O'Shea & Vaughan suggests migratory",McGuire & Ratcliffe 2011; Fleming & Eby 2003; O'Shea & Vaughan 1980; https://animalia.bio/heart-nosed-bat,Nonmigratory,38.10673767,0.717510974,37.73376393,1.048201621,55321.84442,55.32184442,131.3706845,0.226289847,0.415784144,0.239370652
Glossophaga soricina,Pallas's Long-tongued Bat,Potential Migrant/Nonmigratory,Nonmigratory,Nonmigratory,"Suggestion of alt. migration - McGuire/Boyle; NM - McGuire/Ratcliffe; nonmig - Fleming 1993, nm-W&M2022",McGuire & Boyle 2013; McGuire & Ratcliffe 2011; Pedro & Taddei 2002; Fleming et al 1993; Webber & McGuire 2022,Short-distance Migrant,-69.59447461,4.892591238,-64.73740803,-0.677770797,819216.7176,819.2167176,-41.19653765,0.549931945,0.677046896,0.455111763
Phyllostomus hastatus,Greater Spear-nosed Bat,Potential Migrant/Nonmigratory,Nonmigratory,Nonmigratory,"Potential alt. migration - McGuire/Boyle; NM - McGuire/Ratcliffe, NM-B&B2014",McGuire & Boyle 2013; McGuire & Ratcliffe 2011; https://animalia.bio/greater-spear-nosed-bat; Burns & Broder 2014,Short-distance Migrant,-63.80330257,-2.647525003,-60.40437784,-6.11760114,538081.1808,538.0811808,-44.65661204,0.57632979,0.751489791,0.433465953
Uroderma bilobatum,Common Tent-making Bat,Potential Migrant/Nonmigratory,Nonmigratory,Nonmigratory,"Altitudinal mig. suggested in McGuire & Boyle 2013 (cites Hutson 2004), putative nonmigrant - Moussy 2013, NM - B&B2014",McGuire & Boyle 2013 (cites Hutson 2004); https://animalia.bio/tent-making-bat (says not a migrant but provides no evidence); Burns & Broder 2014; Moussy et al. 2013 says putative NM,Nonmigratory,-65.06192559,-1.611711694,-64.7588305,-1.882635481,45108.88361,45.10888361,-48.39028126,0.845148992,0.859808544,0.678358014
Rousettus leschenaultii,Leschenault's Rousette,Potential Migrant/Nonmigratory,Nonmigratory,Nonmigratory,"NM, unknown in Moussy 2013; Aeshita et al 2006 suggests possible migration, NM-B&B2014",Moussy 2013; Burns & Broder 2014; Aeshita et al 2006,Short-distance Migrant,95.61258927,19.08600221,89.78621417,18.92993225,613656.437,613.656437,87.43870104,0.396720219,0.626379385,0.291632247
Rhinolophus euryale,Mediterranean Horseshoe Bat,Potential Migrant/Nonmigratory,Nonmigratory,Nonmigratory,"NM in Europe - Fleming 2003, Hutterer mentions they may rarely travel over 100km (so possibly a partial or regional migrant?)","Fleming 2003; https://animalia.bio/mediterranean-horseshoe-bat; https://www.batmonitoring.org/en/species/rhinolophus-euryale/, Hutterer",Long-distance Migrant,20.31427258,44.80778674,6.33740035,44.24878011,1111398.734,1111.398734,81.90261701,0.231654301,0.468805517,0.377105062
Rhinolophus ferrumequinum,Greater Horseshoe Bat,Potential Migrant/Nonmigratory,Nonmigratory,Nonmigratory,"NM in Europe - Fleming 2003, Hutterer mentions they could be a facultative migrant?, sedentery - McGuire & Ratcliffe, NM - Moussy, NM-B&B2014, NM-Burland & Wilmer 2001; nm-W&M2022",Fleming 2003; Moussy 2013; https://animalia.bio/greater-horseshoe-bat; Burns & Broder 2014; https://www.batmonitoring.org/en/species/rhinolophus-ferrumequinum/; Hutterer et al. 2005; Burland & Wilmer 2001; Webber & McGuire 2022,Short-distance Migrant,25.72358097,46.16172009,18.21903913,44.49977723,616326.2357,616.3262357,69.92273155,0.393065914,0.584532551,0.543071994
Artibeus lituratus,Great Fruit-eating Bat,Potential Migrant/Nonmigratory,Nonmigratory,Nonmigratory,Altitudinal mig. suggested in McGuire & Boyle 2013; direct evidence of >100km seasonal travel of female in Arnone et al 2016; nm-Medellin,McGuire & Boyle 2013; Arnone et al 2016; Medellin 2003,Short-distance Migrant,-70.391234,2.055407987,-66.25163434,-0.16746161,522191.4212,522.1914212,-61.89981291,0.646014443,0.65360972,0.490661079
Chalinolobus gouldii,Gould's Wattled Bat,Potential Migrant/Nonmigratory,Nonmigratory,Nonmigratory,"NM, potential migration? - Driessen et al. 2011",Bisson et al. 2009; Driessen et al. 2011,Short-distance Migrant,134.7050521,-26.48095899,135.6005385,-30.09104143,409609.9645,409.6099645,-12.59858962,0.524103251,0.718439971,0.329093722
