Latin Name,Common Name,Status,Fig_stat,Mig_or_NM,Combo,Choices,Additional migration info,Source,,Mig Status (based on Fleming & Eby 2003),percent overlap ,sum_lon,sum_lat,win_lon,win_lat,distance (m),dist (km),bearing,D,I,rank.corr
Bauerus dubiaquercus,Van Gelder's Bat,Nonmigratory,Nonmigratory,2,,,NM - Bisson,Bisson et al. 2009,,,,,,,,,,,,,
Cassistrellus yokdonensis,Yokdon Helmeted Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Cassistrellus dimissus,Surat Helmeted Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Chalinolobus dwyeri,Large-eared Pied Bat,Nonmigratory,Nonmigratory,2,,,NM,Bisson et al. 2009,,Nonmigratory,12.91723599,149.8653622,-32.79744101,150.354282,-32.32066746,70027.52763,70.02752763,-139.1587219,0.769690927,0.791599312,0.748949927
Chalinolobus gouldii,Gould's Wattled Bat,Potential Migrant/Nonmigratory,Nonmigratory,FALSE,,,"NM, potential migration? - Driessen et al. 2011",Bisson et al. 2009; Driessen et al. 2011,,Short-distance Migrant,43.3346482,134.7050521,-26.48095899,135.6005385,-30.09104143,409609.9645,409.6099645,-12.59858962,0.524103251,0.718439971,0.329093722
Chalinolobus morio,Chocolate Wattled Bat,Nonmigratory,Nonmigratory,2,,,NM,Bisson et al. 2009,,Short-distance Migrant,14.63965685,141.3985942,-33.60352029,139.7174605,-31.46254317,285142.2116,285.1422116,146.8179369,0.504574982,0.703649759,0.631321865
Chalinolobus neocaledonicus,New Caledonia Wattled Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Chalinolobus nigrogriseus,Hoary Wattled Bat,Nonmigratory,Nonmigratory,2,,,NM,Bisson et al. 2009,,Short-distance Migrant,15.10798801,139.0180407,-18.45883601,140.3964038,-19.49093456,184716.5941,184.7165941,-52.02066833,0.730944074,0.823071092,0.786825517
Chalinolobus picatus,Little Pied Bat,Nonmigratory,Nonmigratory,2,,,NM,Bisson et al. 2009,,Nonmigratory,19.27633187,147.0465013,-30.29082351,146.8862449,-29.87982437,48108.93727,48.10893727,161.3087575,0.598016875,0.734172317,0.643409753
Chalinolobus tuberculatus,Long-tailed Wattled Bat,Nonmigratory,Nonmigratory,2,,,NM - Bisson,Bisson et al. 2009,,,,,,,,,,,,,
Corynorhinus mexicanus,Mexican Big-eared Bat,Unknown,Unknown,0,,,NM,https://animalia.bio/mexican-big-eared-bat,,Short-distance Migrant,9.39590688,-104.2414637,27.25342158,-101.2424918,21.43935872,712183.0979,712.1830979,-24.68927561,0.177483385,0.421287769,0.31224859
Corynorhinus rafinesquii,Rafinesque's Big-eared Bat,Nonmigratory,Nonmigratory,2,,,NM in NA,Fleming 2019,,Short-distance Migrant,9.498024492,-89.18815963,33.90858895,-92.49884019,36.84328165,443236.0682,443.2360682,136.2935848,0.363453299,0.573412769,0.509068456
Corynorhinus townsendii,Townsend's Big-eared Bat,Potential Migrant/Nonmigratory,Nonmigratory,FALSE,,,"Local/partial migrant - movements over 150km?; suggestion of elevational mig - McGuire/Boyle 2013, NM - Moussy et al 2013","McGuire and Boyle 2013; https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.103228/Corynorhinus_townsendii; https://animalia.bio/townsends-big-eared-bat, Moussy et al 2013",,Short-distance Migrant,36.98441304,-107.3657179,39.06541429,-104.0323053,37.55003168,336563.972,336.563972,-58.99165927,0.716486287,0.779740193,0.604396247
Eptesicus anatolicus,Anatolian Serotine,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Eptesicus andinus,Little Black Serotine,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Eptesicus bottae,Botta's Serotine,Unknown,Unknown,0,,,DD - Hutterer,Hutterer et al. 2005,,,,,,,,,,,,,
Eptesicus brasiliensis,Brazilian Brown Bat,Nonmigratory,Nonmigratory,2,,,NM,Bisson et al. 2009,,Short-distance Migrant,51.39621432,-64.29736784,-4.684534522,-61.90637161,-9.023453915,547774.1155,547.7741155,-28.99594081,0.605212924,0.769197764,0.405838147
Eptesicus chiriquinus,Chiriquinan Serotine,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
